population,Carbon Dioxide emissions (million metric tons)
4779736,120000000
710231,38000000
6392017,93000000
2915918,62000000
37253956,372000000
5029196,93000000
3574097,36000000
897934,12000000
601723,3000000
18801310,224000000
9687653,163000000
1360301,19000000
1567582,15000000
12830632,226000000
6483802,208000000
3046355,84000000
2853118,73000000
4339367,144000000
4533372,214000000
1328361,18000000
5773552,71000000
6547629,70000000
9883640,164000000
5303925,93000000
2967297,61000000
5988927,131000000
989415,33000000
1826341,47000000
2700551,39000000
1316470,17000000
8791894,112000000
2059179,57000000
19378102,174000000
9535483,133000000
672591,51000000
11536504,239000000
3751351,107000000
3831074,41000000
12702379,245000000
1052567,11000000
4625364,82000000
814180,15000000
6346105,103000000
25145561,550000000
2763885,65000000
625741,6000000
8001024,106000000
6724540,77000000
1852994,90000000
5686986,96000000
563626,64000000
